time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-18T03:34:03.001Z,31.63077607,-103.9971448,9.473608398,2.7,ml,69,31,0.02073782791,0.2,tx,tx2022wotl,2022-11-18T08:48:33.649Z,"western Texas",earthquake,0.5060585201,0.5480883588,0.2,40,reviewed,tx,tx
2022-11-18T03:10:16.172Z,31.64886475,-104.5844846,7.018513997,2.9,ml,39,80,0.07398074361,0.2,tx,tx2022wost,2022-11-18T14:25:28.535Z,"61 km SSW of Whites City, New Mexico",earthquake,1.186820826,1.21013552,0.1,23,reviewed,tx,tx
2022-11-18T01:49:19.379Z,35.87416667,-97.58933333,9.75,2.64,ml,90,32,0,0.16,ok,ok2022woqc,2022-11-18T13:57:52.613Z,"",earthquake,,2.1,0.23,43,reviewed,ok,ok
2022-11-17T19:00:24.883Z,31.6348178,-103.9911103,6.427209473,2.5,ml,40,32,0.02725711418,0.2,tx,tx2022wocp,2022-11-18T16:56:07.217Z,"37 km WSW of Mentone, Texas",earthquake,0.3859345052,0.5398813228,0.2,25,reviewed,tx,tx
2022-11-17T14:43:12.764Z,30.71228027,-104.673447,6.602783203000001,2.5,ml,36,138,0.278154846,0.3,tx,tx2022wnud,2022-11-24T20:32:03.040Z,"21 km NW of Valentine, Texas",earthquake,1.788578841,2.101719389,0.1,19,reviewed,tx,tx
2022-11-17T13:23:21.942Z,44.2235,-116.2207,10,3.4,ml,16,64,0.857,0.64,us,us7000iqeg,2022-11-21T17:42:08.335Z,"13 km SW of Smiths Ferry, Idaho",earthquake,2.3,1.987,0.028,162,reviewed,us,us
2022-11-17T12:31:55.560Z,31.61738727,-103.980808,8.22677002,2.5,ml,23,87,0.01221038566,0.2,tx,tx2022wnpu,2022-11-19T05:44:00.985Z,"37 km WSW of Mentone, Texas",earthquake,0.5645719546,0.46599425,0.2,16,reviewed,tx,tx
2022-11-17T11:29:42.805Z,31.6196887,-103.9797423,6.350085449,2.5,ml,21,86,0.01294433927,0.1,tx,tx2022wnns,2022-11-17T20:40:08.077Z,"37 km WSW of Mentone, Texas",earthquake,0.5941044724,0.4040087446,0.2,15,reviewed,tx,tx
2022-11-17T05:23:15.064Z,31.63748457,-104.0174897,7.224157714999999,2.7,ml,73,39,0.01771589559,0.3,tx,tx2022wnbq,2022-11-17T09:02:34.533Z,"40 km W of Mentone, Texas",earthquake,0.4818504575,0.5200372987000002,0.2,38,reviewed,tx,tx
2022-11-17T04:38:31.981Z,31.63563504,-103.9872129,8.625244141,3.8,ml,61,57,0.03050261862,0.2,tx,tx2022wnac,2022-11-21T16:46:04.438Z,"37 km WSW of Mentone, Texas",earthquake,0.4565236274,0.5781065249000001,0.2,33,reviewed,tx,tx
2022-11-17T01:49:06.251Z,31.61709197,-104.0004432,8.021105957,2.5,ml,46,34,0.01501811036,0.2,tx,tx2022wmuo,2022-11-17T13:55:13.104Z,"38 km NNW of Toyah, Texas",earthquake,0.4165548373,0.4471366673,0.2,36,reviewed,tx,tx
2022-11-17T01:07:11.932Z,31.61013778,-103.9841374,9.627856445,2.9,ml,52,42,0.01306186414,0.2,tx,tx2022wmtf,2022-11-17T05:55:45.040Z,"37 km NNW of Toyah, Texas",earthquake,0.4783062937,0.3925179174,0.1,30,reviewed,tx,tx
2022-11-17T01:04:09.070Z,31.61714426,-103.9848418,9.229382324,3.5,ml,73,39,0.01509933772,0.2,tx,tx2022wmtd,2022-11-18T01:08:58.194Z,"37 km WSW of Mentone, Texas",earthquake,0.407798999,0.5123908262,0.2,43,reviewed,tx,tx
2022-11-17T00:21:03.814Z,31.61147683,-103.960608,6.118713379,2.5,ml,35,49,0.007065360933,0.1,tx,tx2022wmrr,2022-11-30T06:15:33.040Z,"35 km WSW of Mentone, Texas",earthquake,0.4745974965,0.4703427896,0.2,30,reviewed,tx,tx
2022-11-16T23:15:03.852Z,31.61717663,-103.9748891,7.738317870999999,2.8,ml,67,41,0.008289409067,0.2,tx,tx2022wmpl,2022-11-30T04:50:13.040Z,"36 km WSW of Mentone, Texas",earthquake,0.3979932194,0.5964450022,0.1,36,reviewed,tx,tx
2022-11-16T22:50:36.340Z,31.6073499,-103.9932696,8.496704102000002,2.6,ml,33,57,0.0211088339,0.2,tx,tx2022wmor,2022-11-30T04:28:08.040Z,"37 km NNW of Toyah, Texas",earthquake,0.5514440741,0.5139176089,0.2,18,reviewed,tx,tx
2022-11-16T22:39:13.563Z,31.62947111,-104.0091105,8.123937988,4,ml,65,28,0.01217681002,0.2,tx,tx2022wmog,2022-11-30T04:22:11.034Z,"39 km WSW of Mentone, Texas",earthquake,0.3487371414,0.4202172365,0.2,53,reviewed,tx,tx
2022-11-16T22:01:04.256Z,31.63447804,-103.9896289,5.874487305,2.6,ml,18,83,0.02969373108,0.1,tx,tx2022wmnb,2022-11-30T00:34:41.040Z,"37 km WSW of Mentone, Texas",earthquake,0.5438910784999998,0.6610738489,0.2,12,reviewed,tx,tx
2022-11-16T21:52:02.421Z,31.62852652,-103.9826069,8.702368164,2.5,ml,48,36,0.02137164028,0.3,tx,tx2022wmmt,2022-11-30T00:28:15.040Z,"37 km WSW of Mentone, Texas",earthquake,0.5925321234,0.7740357686,0.2,27,reviewed,tx,tx
2022-11-16T21:46:03.596Z,31.60882457,-103.9636898,8.650952148,2.6,ml,28,47,0.04180113523,0.2,tx,tx2022wmmo,2022-11-30T00:20:56.040Z,"36 km WSW of Mentone, Texas",earthquake,0.597543612,0.931127986,0.1,17,reviewed,tx,tx
2022-11-16T21:40:29.772Z,31.61834703,-103.9681694,5.604553223,3.4,ml,31,76,0.007681257223,0.2,tx,tx2022wmmk,2022-11-30T00:11:24.040Z,"western Texas",earthquake,0.4412808601,0.4768665473,0.2,18,reviewed,tx,tx
2022-11-16T21:39:45.025Z,31.6365363,-103.992598,5.334619141,2.8,ml,25,58,0.02723274747,0.2,tx,tx2022wmmj,2022-11-30T00:00:43.040Z,"western Texas",earthquake,0.5721855392,0.6457161445,0.1,14,reviewed,tx,tx
2022-11-16T21:36:30.788Z,31.63425093,-103.9888208,6.620019531,2.6,ml,13,86,0.02861427392,0.1,tx,tx2022wmmh,2022-11-29T23:55:07.040Z,"37 km WSW of Mentone, Texas",earthquake,0.638139173,0.8094712489,0.1,7,reviewed,tx,tx
2022-11-16T21:32:44.481Z,31.6367452,-103.9987871,6.902807617,5.4,ml,42,46,0.02345152448,0.1,tx,tx2022wmmd,2022-11-30T07:21:27.585Z,"38 km WSW of Mentone, Texas",earthquake,0.4628109061,0.629622792,0.2,21,reviewed,tx,tx
2022-11-16T13:47:44.447Z,47.2851,-114.1267,11.888,3.7,mwr,41,50,0.474,0.82,us,us7000iq4e,2022-11-22T21:40:16.736Z,"4 km ENE of Ravalli, Montana",earthquake,4.96,6.818,0.047,43,reviewed,us,us
2022-11-16T10:29:50.960Z,42.214,-111.091,7.6,3.04,ml,29,100,0.1986,0.21,uu,uu60525377,2022-11-26T08:34:06.040Z,"18 km NNW of Taylor, Wyoming",earthquake,0.44,1.29,0.207,13,reviewed,uu,uu
2022-11-16T10:20:08.970Z,42.2158333,-111.0901667,7.23,2.6,ml,30,100,0.1991,0.2,uu,uu60525372,2022-11-26T08:32:31.040Z,"18 km NNW of Taylor, Wyoming",earthquake,0.44,1.1,0.195,11,reviewed,uu,uu
2022-11-16T09:58:54.140Z,42.2126667,-111.091,9.49,3.57,ml,26,100,0.1978,0.24,uu,uu60525357,2022-11-26T08:33:21.120Z,"17 km NNW of Taylor, Wyoming",earthquake,0.47,1.11,0.218,17,reviewed,uu,uu
2022-11-16T09:41:58.110Z,42.2076667,-111.0896667,10.25,2.97,ml,26,99,0.1942,0.2,uu,uu60525337,2022-11-24T13:52:46.040Z,"17 km NNW of Taylor, Wyoming",earthquake,0.48,0.86,0.166,13,reviewed,uu,uu
2022-11-16T09:18:22.180Z,42.2151667,-111.0913333,7.61,2.81,ml,30,100,0.1995,0.2,uu,uu60525317,2022-11-24T13:46:00.040Z,"18 km NNW of Taylor, Wyoming",earthquake,0.46,0.99,0.192,13,reviewed,uu,uu
2022-11-16T05:22:16.280Z,37.4401667,-122.4241667,10.54,2.83,md,122,155,0.01136,0.12,nc,nc73808001,2022-11-23T07:06:37.040Z,"3km S of Half Moon Bay, CA",earthquake,0.13,0.18,0.156,143,reviewed,nc,nc
